RNA_cell_ID	Perturbation
CH02_EC_A10_S34	MT
CH02_EC_A12_S36	NG
CH02_EC_A2_S26	MT
CH02_EC_A3_S27	MT
CH02_EC_A4_S28	NG
CH02_EC_A5_S29	WT
CH02_EC_A6_S30	MT
CH02_EC_A7_S31	NG
CH02_EC_A8_S32	WT
CH02_EC_A9_S33	WT
CH02_EC_B10_S82	MT
CH02_EC_B11_S83	MT
CH02_EC_B12_S84	MT
CH02_EC_B1_S73	MT
CH02_EC_B4_S76	MT
CH02_EC_B5_S77	MT
CH02_EC_B6_S78	MT
CH02_EC_B7_S79	MT
CH02_EC_B8_S80	NG
CH02_EC_B9_S81	WT
CH02_EC_C11_S131	WT
CH02_EC_C12_S132	MT
CH02_EC_C1_S121	NG
CH02_EC_C3_S123	WT
CH02_EC_C4_S124	NG
CH02_EC_C5_S125	NG
CH02_EC_C6_S126	WT
CH02_EC_C8_S128	MT
CH02_EC_C9_S129	WT
CH02_EC_D10_S178	MT
CH02_EC_D12_S180	WT
CH02_EC_D1_S169	NG
CH02_EC_D2_S170	MT
CH02_EC_D3_S171	MT
CH02_EC_D4_S172	NG
CH02_EC_D5_S173	MT
CH02_EC_D6_S174	MT
CH02_EC_D7_S175	NG
CH02_EC_D8_S176	NG
CH02_EC_D9_S177	WT
CH02_EC_E10_S226	MT
CH02_EC_E11_S227	MT
CH02_EC_E12_S228	MT
CH02_EC_E1_S217	WT
CH02_EC_E2_S218	MT
CH02_EC_E3_S219	MT
CH02_EC_E4_S220	NG
CH02_EC_E5_S221	WT
CH02_EC_E8_S224	MT
CH02_EC_E9_S225	WT
CH02_EC_F11_S275	NG
CH02_EC_F12_S276	MT
CH02_EC_F1_S265	NG
CH02_EC_F2_S266	MT
CH02_EC_F4_S268	MT
CH02_EC_F5_S269	WT
CH02_EC_F6_S270	WT
CH02_EC_F7_S271	WT
CH02_EC_F8_S272	WT
CH02_EC_F9_S273	WT
CH02_EC_G10_S322	MT
CH02_EC_G11_S323	MT
CH02_EC_G12_S324	MT
CH02_EC_G1_S313	NG
CH02_EC_G2_S314	NG
CH02_EC_G3_S315	MT
CH02_EC_G4_S316	WT
CH02_EC_G5_S317	NG
CH02_EC_G7_S319	MT
CH02_EC_G8_S320	MT
CH02_EC_G9_S321	NG
CH02_EC_H10_S370	NG
CH02_EC_H11_S371	MT
CH02_EC_H12_S372	NG
CH02_EC_H1_S361	MT
CH02_EC_H3_S363	NG
CH02_EC_H4_S364	WT
CH02_EC_H5_S365	MT
CH02_EC_H6_S366	MT
CH02_EC_H7_S367	WT
CH02_EC_H8_S368	WT
CH02_EC_H9_S369	NG
CH02.pl2.A10_S14	MT
CH02.pl2.A11_S15	WT
CH02.pl2.A12_S16	WT
CH02.pl2.A1_S5	NG
CH02.pl2.A2_S6	WT
CH02.pl2.A3_S7	NG
CH02.pl2.A4_S8	MT
CH02.pl2.A5_S9	NG
CH02.pl2.A6_S10	WT
CH02.pl2.A7_S11	WT
CH02.pl2.A8_S12	MT
CH02.pl2.A9_S13	MT
CH02.pl2.B11_S27	MT
CH02.pl2.B12_S28	MT
CH02.pl2.B1_S17	MT
CH02.pl2.B2_S18	WT
CH02.pl2.B3_S19	MT
CH02.pl2.B4_S20	MT
CH02.pl2.B5_S21	MT
CH02.pl2.B7_S23	MT
CH02.pl2.B8_S24	MT
CH02.pl2.B9_S25	MT
CH02.pl2.C10_S38	WT
CH02.pl2.C12_S40	MT
CH02.pl2.C1_S29	WT
CH02.pl2.C2_S30	MT
CH02.pl2.C4_S32	MT
CH02.pl2.C5_S33	MT
CH02.pl2.C6_S34	MT
CH02.pl2.C7_S35	MT
CH02.pl2.C8_S36	WT
CH02.pl2.C9_S37	WT
CH02.pl2.D10_S50	NG
CH02.pl2.D11_S51	MT
CH02.pl2.D12_S52	NG
CH02.pl2.D2_S42	MT
CH02.pl2.D3_S43	MT
CH02.pl2.D4_S44	NG
CH02.pl2.D5_S45	MT
CH02.pl2.D6_S46	WT
CH02.pl2.D7_S47	WT
CH02.pl2.D8_S48	NG
CH02.pl2.D9_S49	MT
CH02.pl2.E10_S62	WT
CH02.pl2.E11_S63	MT
CH02.pl2.E12_S64	WT
CH02.pl2.E2_S54	WT
CH02.pl2.E3_S55	MT
CH02.pl2.E4_S56	MT
CH02.pl2.E5_S57	NG
CH02.pl2.E7_S59	MT
CH02.pl2.E8_S60	MT
CH02.pl2.E9_S61	NG
CH02.pl2.F10_S74	NG
CH02.pl2.F11_S75	MT
CH02.pl2.F12_S76	NG
CH02.pl2.F1_S65	WT
CH02.pl2.F2_S66	WT
CH02.pl2.F3_S67	WT
CH02.pl2.F4_S68	MT
CH02.pl2.F5_S69	WT
CH02.pl2.F6_S70	NG
CH02.pl2.F7_S71	NG
CH02.pl2.F8_S72	NG
CH02.pl2.F9_S73	NG
CH02.pl2.G10_S86	MT
CH02.pl2.G11_S87	MT
CH02.pl2.G12_S88	NG
CH02.pl2.G1_S77	MT
CH02.pl2.G2_S78	MT
CH02.pl2.G4_S80	MT
CH02.pl2.G5_S81	WT
CH02.pl2.G6_S82	WT
CH02.pl2.G7_S83	MT
CH02.pl2.G8_S84	MT
CH02.pl2.H10_S98	NG
CH02.pl2.H11_S99	MT
CH02.pl2.H12_S100	NG
CH02.pl2.H1_S89	MT
CH02.pl2.H3_S91	MT
CH02.pl2.H4_S92	WT
CH02.pl2.H5_S93	NG
CH02.pl2.H6_S94	NG
CH02.pl2.H7_S95	NG
CH02.pl2.H8_S96	NG
CH02.pl2.H9_S97	WT
CH02.3.cDNA.A10_S114	MT
CH02.3.cDNA.A11_S115	MT
CH02.3.cDNA.A12_S116	MT
CH02.3.cDNA.A1_S105	MT
CH02.3.cDNA.A2_S106	MT
CH02.3.cDNA.A4_S108	MT
CH02.3.cDNA.A5_S109	MT
CH02.3.cDNA.A6_S110	MT
CH02.3.cDNA.A7_S111	MT
CH02.3.cDNA.A8_S112	MT
CH02.3.cDNA.A9_S113	WT
CH02.3.cDNA.B10_S126	WT
CH02.3.cDNA.B12_S128	NG
CH02.3.cDNA.B1_S117	MT
CH02.3.cDNA.B2_S118	MT
CH02.3.cDNA.B3_S119	WT
CH02.3.cDNA.B4_S120	WT
CH02.3.cDNA.B5_S121	MT
CH02.3.cDNA.B6_S122	WT
CH02.3.cDNA.B8_S124	MT
CH02.3.cDNA.B9_S125	MT
CH02.3.cDNA.C10_S138	MT
CH02.3.cDNA.C11_S139	MT
CH02.3.cDNA.C12_S140	MT
CH02.3.cDNA.C1_S129	MT
CH02.3.cDNA.C2_S130	MT
CH02.3.cDNA.C3_S131	MT
CH02.3.cDNA.C4_S132	WT
CH02.3.cDNA.C5_S133	WT
CH02.3.cDNA.C6_S134	MT
CH02.3.cDNA.C7_S135	MT
CH02.3.cDNA.C8_S136	MT
CH02.3.cDNA.C9_S137	MT
CH02.3.cDNA.D10_S150	MT
CH02.3.cDNA.D11_S151	MT
CH02.3.cDNA.D12_S152	MT
CH02.3.cDNA.D1_S141	MT
CH02.3.cDNA.D2_S142	WT
CH02.3.cDNA.D3_S143	MT
CH02.3.cDNA.D4_S144	MT
CH02.3.cDNA.D5_S145	MT
CH02.3.cDNA.D6_S146	MT
CH02.3.cDNA.D7_S147	MT
CH02.3.cDNA.D8_S148	WT
CH02.3.cDNA.D9_S149	NG
CH02.3.cDNA.E10_S162	MT
CH02.3.cDNA.E11_S163	MT
CH02.3.cDNA.E12_S164	NG
CH02.3.cDNA.E1_S153	MT
CH02.3.cDNA.E3_S155	WT
CH02.3.cDNA.E4_S156	MT
CH02.3.cDNA.E5_S157	NG
CH02.3.cDNA.E6_S158	MT
CH02.3.cDNA.E7_S159	NG
CH02.3.cDNA.E8_S160	MT
CH02.3.cDNA.F10_S174	MT
CH02.3.cDNA.F11_S175	MT
CH02.3.cDNA.F12_S176	MT
CH02.3.cDNA.F1_S165	MT
CH02.3.cDNA.F2_S166	WT
CH02.3.cDNA.F3_S167	NG
CH02.3.cDNA.F4_S168	WT
CH02.3.cDNA.F5_S169	MT
CH02.3.cDNA.F6_S170	MT
CH02.3.cDNA.F7_S171	MT
CH02.3.cDNA.F9_S173	NG
CH02.3.cDNA.G10_S186	MT
CH02.3.cDNA.G11_S187	WT
CH02.3.cDNA.G12_S188	WT
CH02.3.cDNA.G1_S177	MT
CH02.3.cDNA.G2_S178	MT
CH02.3.cDNA.G3_S179	NG
CH02.3.cDNA.G5_S181	MT
CH02.3.cDNA.G6_S182	MT
CH02.3.cDNA.G7_S183	WT
CH02.3.cDNA.G8_S184	MT
CH02.3.cDNA.H10_S198	MT
CH02.3.cDNA.H11_S199	MT
CH02.3.cDNA.H12_S200	MT
CH02.3.cDNA.H1_S189	WT
CH02.3.cDNA.H2_S190	MT
CH02.3.cDNA.H3_S191	WT
CH02.3.cDNA.H5_S193	MT
CH02.3.cDNA.H6_S194	WT
CH02.3.cDNA.H7_S195	MT
CH02.3.cDNA.H8_S196	MT
CH02.3.cDNA.H9_S197	MT
CH04_SS2_P1_A10_S10	MT
CH04_SS2_P1_A11_S11	MT
CH04_SS2_P1_A12_S12	MT
CH04_SS2_P1_A1_S1	NG
CH04_SS2_P1_A2_S2	WT
CH04_SS2_P1_A3_S3	WT
CH04_SS2_P1_A4_S4	MT
CH04_SS2_P1_A5_S5	NG
CH04_SS2_P1_A7_S7	WT
CH04_SS2_P1_A8_S8	MT
CH04_SS2_P1_A9_S9	MT
CH04_SS2_P1_B10_S22	MT
CH04_SS2_P1_B11_S23	MT
CH04_SS2_P1_B12_S24	MT
CH04_SS2_P1_B1_S13	NG
CH04_SS2_P1_B2_S14	WT
CH04_SS2_P1_B3_S15	WT
CH04_SS2_P1_B4_S16	MT
CH04_SS2_P1_B6_S18	WT
CH04_SS2_P1_B7_S19	WT
CH04_SS2_P1_B8_S20	MT
CH04_SS2_P1_B9_S21	MT
CH04_SS2_P1_C10_S34	MT
CH04_SS2_P1_C11_S35	MT
CH04_SS2_P1_C12_S36	MT
CH04_SS2_P1_C1_S25	NG
CH04_SS2_P1_C2_S26	WT
CH04_SS2_P1_C4_S28	MT
CH04_SS2_P1_C5_S29	NG
CH04_SS2_P1_C6_S30	WT
CH04_SS2_P1_C7_S31	WT
CH04_SS2_P1_C8_S32	MT
CH04_SS2_P1_C9_S33	MT
CH04_SS2_P1_D10_S46	MT
CH04_SS2_P1_D12_S48	MT
CH04_SS2_P1_D1_S37	NG
CH04_SS2_P1_D2_S38	WT
CH04_SS2_P1_D3_S39	WT
CH04_SS2_P1_D4_S40	MT
CH04_SS2_P1_D5_S41	NG
CH04_SS2_P1_D6_S42	WT
CH04_SS2_P1_D7_S43	WT
CH04_SS2_P1_D8_S44	MT
CH04_SS2_P1_D9_S45	MT
CH04_SS2_P1_E10_S58	MT
CH04_SS2_P1_E11_S59	MT
CH04_SS2_P1_E12_S60	MT
CH04_SS2_P1_E1_S49	NG
CH04_SS2_P1_E2_S50	WT
CH04_SS2_P1_E3_S51	WT
CH04_SS2_P1_E4_S52	MT
CH04_SS2_P1_E5_S53	NG
CH04_SS2_P1_E6_S54	WT
CH04_SS2_P1_E7_S55	WT
CH04_SS2_P1_E8_S56	MT
CH04_SS2_P1_E9_S57	MT
CH04_SS2_P1_F10_S70	MT
CH04_SS2_P1_F11_S71	MT
CH04_SS2_P1_F12_S72	MT
CH04_SS2_P1_F1_S61	NG
CH04_SS2_P1_F2_S62	WT
CH04_SS2_P1_F3_S63	WT
CH04_SS2_P1_F4_S64	MT
CH04_SS2_P1_F5_S65	NG
CH04_SS2_P1_F6_S66	WT
CH04_SS2_P1_F7_S67	WT
CH04_SS2_P1_F8_S68	MT
CH04_SS2_P1_F9_S69	MT
CH04_SS2_P1_G10_S82	MT
CH04_SS2_P1_G11_S83	MT
CH04_SS2_P1_G12_S84	MT
CH04_SS2_P1_G1_S73	NG
CH04_SS2_P1_G2_S74	WT
CH04_SS2_P1_G3_S75	WT
CH04_SS2_P1_G4_S76	MT
CH04_SS2_P1_G5_S77	NG
CH04_SS2_P1_G6_S78	WT
CH04_SS2_P1_G7_S79	WT
CH04_SS2_P1_G8_S80	MT
CH04_SS2_P1_G9_S81	MT
CH04_SS2_P1_H10_S94	MT
CH04_SS2_P1_H11_S95	MT
CH04_SS2_P1_H12_S96	MT
CH04_SS2_P1_H1_S85	NG
CH04_SS2_P1_H2_S86	WT
CH04_SS2_P1_H3_S87	WT
CH04_SS2_P1_H4_S88	MT
CH04_SS2_P1_H5_S89	NG
CH04_SS2_P1_H6_S90	WT
CH04_SS2_P1_H7_S91	WT
CH04_SS2_P1_H8_S92	MT
CH04_SS2_P1_H9_S93	MT
CH04.pl2.A10_S110	MT
CH04.pl2.A12_S112	WT
CH04.pl2.A1_S101	WT
CH04.pl2.A2_S102	WT
CH04.pl2.A3_S103	MT
CH04.pl2.A4_S104	WT
CH04.pl2.A5_S105	WT
CH04.pl2.A6_S106	WT
CH04.pl2.A7_S107	WT
CH04.pl2.A8_S108	WT
CH04.pl2.A9_S109	WT
CH04.pl2.B10_S122	MT
CH04.pl2.B11_S123	MT
CH04.pl2.B12_S124	WT
CH04.pl2.B1_S113	WT
CH04.pl2.B2_S114	WT
CH04.pl2.B3_S115	WT
CH04.pl2.B4_S116	WT
CH04.pl2.B5_S117	WT
CH04.pl2.B7_S119	WT
CH04.pl2.B8_S120	WT
CH04.pl2.B9_S121	NG
CH04.pl2.C10_S134	MT
CH04.pl2.C11_S135	WT
CH04.pl2.C12_S136	WT
CH04.pl2.C1_S125	WT
CH04.pl2.C2_S126	WT
CH04.pl2.C3_S127	WT
CH04.pl2.C4_S128	WT
CH04.pl2.C6_S130	WT
CH04.pl2.C7_S131	MT
CH04.pl2.C8_S132	WT
CH04.pl2.C9_S133	WT
CH04.pl2.D10_S146	WT
CH04.pl2.D11_S147	WT
CH04.pl2.D12_S148	WT
CH04.pl2.D1_S137	WT
CH04.pl2.D2_S138	WT
CH04.pl2.D3_S139	MT
CH04.pl2.D4_S140	WT
CH04.pl2.D5_S141	NG
CH04.pl2.D6_S142	WT
CH04.pl2.D7_S143	NG
CH04.pl2.D8_S144	WT
CH04.pl2.D9_S145	WT
CH04.pl2.E10_S158	MT
CH04.pl2.E11_S159	MT
CH04.pl2.E12_S160	NG
CH04.pl2.E1_S149	WT
CH04.pl2.E2_S150	WT
CH04.pl2.E3_S151	WT
CH04.pl2.E4_S152	WT
CH04.pl2.E5_S153	WT
CH04.pl2.E6_S154	MT
CH04.pl2.E7_S155	NG
CH04.pl2.E8_S156	MT
CH04.pl2.E9_S157	WT
CH04.pl2.F10_S170	NG
CH04.pl2.F11_S171	WT
CH04.pl2.F12_S172	WT
CH04.pl2.F1_S161	WT
CH04.pl2.F2_S162	WT
CH04.pl2.F3_S163	MT
CH04.pl2.F4_S164	WT
CH04.pl2.F5_S165	WT
CH04.pl2.F6_S166	WT
CH04.pl2.F7_S167	WT
CH04.pl2.F8_S168	MT
CH04.pl2.G10_S182	WT
CH04.pl2.G11_S183	WT
CH04.pl2.G12_S184	WT
CH04.pl2.G1_S173	WT
CH04.pl2.G2_S174	WT
CH04.pl2.G4_S176	WT
CH04.pl2.G5_S177	WT
CH04.pl2.G6_S178	WT
CH04.pl2.G7_S179	NG
CH04.pl2.G8_S180	WT
CH04.pl2.G9_S181	MT
CH04.pl2.H10_S194	NG
CH04.pl2.H11_S195	NG
CH04.pl2.H12_S196	WT
CH04.pl2.H1_S185	MT
CH04.pl2.H2_S186	WT
CH04.pl2.H3_S187	MT
CH04.pl2.H4_S188	MT
CH04.pl2.H5_S189	WT
CH04.pl2.H6_S190	MT
CH04.pl2.H7_S191	WT
CH04.pl2.H8_S192	WT
CH04.pl2.H9_S193	WT
CH04.3.cDNA.A10_S210	WT
CH04.3.cDNA.A12_S212	MT
CH04.3.cDNA.A1_S201	MT
CH04.3.cDNA.A2_S202	WT
CH04.3.cDNA.A3_S203	MT
CH04.3.cDNA.A4_S204	WT
CH04.3.cDNA.A5_S205	MT
CH04.3.cDNA.A6_S206	WT
CH04.3.cDNA.A7_S207	MT
CH04.3.cDNA.A8_S208	MT
CH04.3.cDNA.A9_S209	WT
CH04.3.cDNA.B10_S222	NG
CH04.3.cDNA.B11_S223	WT
CH04.3.cDNA.B12_S224	NG
CH04.3.cDNA.B1_S213	WT
CH04.3.cDNA.B2_S214	WT
CH04.3.cDNA.B4_S216	NG
CH04.3.cDNA.B5_S217	NG
CH04.3.cDNA.B6_S218	WT
CH04.3.cDNA.B7_S219	WT
CH04.3.cDNA.B9_S221	WT
CH04.3.cDNA.C10_S234	MT
CH04.3.cDNA.C11_S235	MT
CH04.3.cDNA.C12_S236	MT
CH04.3.cDNA.C1_S225	WT
CH04.3.cDNA.C2_S226	MT
CH04.3.cDNA.C3_S227	MT
CH04.3.cDNA.C4_S228	WT
CH04.3.cDNA.C5_S229	WT
CH04.3.cDNA.C6_S230	MT
CH04.3.cDNA.C7_S231	MT
CH04.3.cDNA.C8_S232	WT
CH04.3.cDNA.C9_S233	MT
CH04.3.cDNA.D10_S246	MT
CH04.3.cDNA.D11_S247	NG
CH04.3.cDNA.D12_S248	MT
CH04.3.cDNA.D1_S237	MT
CH04.3.cDNA.D2_S238	WT
CH04.3.cDNA.D3_S239	MT
CH04.3.cDNA.D4_S240	WT
CH04.3.cDNA.D5_S241	WT
CH04.3.cDNA.D6_S242	WT
CH04.3.cDNA.D7_S243	WT
CH04.3.cDNA.D8_S244	WT
CH04.3.cDNA.D9_S245	WT
CH04.3.cDNA.E10_S258	MT
CH04.3.cDNA.E11_S259	NG
CH04.3.cDNA.E12_S260	NG
CH04.3.cDNA.E1_S249	WT
CH04.3.cDNA.E2_S250	MT
CH04.3.cDNA.E3_S251	MT
CH04.3.cDNA.E5_S253	NG
CH04.3.cDNA.E6_S254	MT
CH04.3.cDNA.E7_S255	MT
CH04.3.cDNA.E9_S257	MT
CH04.3.cDNA.F10_S270	MT
CH04.3.cDNA.F11_S271	MT
CH04.3.cDNA.F12_S272	NG
CH04.3.cDNA.F1_S261	WT
CH04.3.cDNA.F2_S262	NG
CH04.3.cDNA.F3_S263	MT
CH04.3.cDNA.F5_S265	NG
CH04.3.cDNA.F6_S266	WT
CH04.3.cDNA.F7_S267	WT
CH04.3.cDNA.F8_S268	WT
CH04.3.cDNA.F9_S269	WT
CH04.3.cDNA.G10_S282	WT
CH04.3.cDNA.G11_S283	WT
CH04.3.cDNA.G12_S284	WT
CH04.3.cDNA.G1_S273	WT
CH04.3.cDNA.G2_S274	WT
CH04.3.cDNA.G3_S275	MT
CH04.3.cDNA.G4_S276	WT
CH04.3.cDNA.G5_S277	WT
CH04.3.cDNA.G6_S278	WT
CH04.3.cDNA.G7_S279	WT
CH04.3.cDNA.G8_S280	WT
CH04.3.cDNA.G9_S281	WT
CH04.3.cDNA.H10_S294	WT
CH04.3.cDNA.H11_S295	MT
CH04.3.cDNA.H12_S296	WT
CH04.3.cDNA.H1_S285	WT
CH04.3.cDNA.H2_S286	MT
CH04.3.cDNA.H3_S287	MT
CH04.3.cDNA.H4_S288	MT
CH04.3.cDNA.H5_S289	WT
CH04.3.cDNA.H6_S290	MT
CH04.3.cDNA.H7_S291	WT
CH04.3.cDNA.H8_S292	MT
CH04.3.cDNA.H9_S293	MT
